Jornada,Fecha/hora,Estadio,Partido,Resultado,Estado
1,2025-04-12 09:30:00,LICEO LOS OLIVOS,ACADEMIA M.F.C - CORE SPORT,0:4,JUGADO
1,2025-04-10 15:30:00,DESCONOCIDO,ACADEMIA DEPORTIVA EMANUEL - ESCUELA DE FUTBOL MGD,3:3,JUGADO
1,2025-04-11 16:00:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - ACADEMIA SUR AEROPUERTO FC,0:5,JUGADO
2,2025-03-21 15:00:00,CANCHA VILLA BETANIA,S LUGO FC - ACADEMIA M.F.C,1:2,JUGADO
2,2025-03-22 14:00:00,CANCHA EL CAMPITO-CORE 8,CORE SPORT - ACADEMIA DEPORTIVA EMANUEL,3:0*,JUGADO
2,2025-03-21 15:45:00,"""CIUDAD MINEROS""  PTO. ORDAZ",ESCUELA DE FUTBOL MGD - LOS OLIVOS,3:0*,JUGADO
3,2025-03-25 16:30:00,LICEO LOS OLIVOS,ACADEMIA M.F.C - ACADEMIA DEPORTIVA EMANUEL,4:2,JUGADO
3,2025-03-22 10:00:00,CANCHA UNION UNARE,ACADEMIA SUR AEROPUERTO FC - ESCUELA DE FUTBOL MGD,1:0,JUGADO
3,2025-03-23 09:00:00,CANCHA EL CAMPITO-CORE 8,CORE SPORT - S LUGO FC,4:3,JUGADO
4,2025-03-29 14:30:00,CANCHA UNION UNARE,ACADEMIA SUR AEROPUERTO FC - ACADEMIA M.F.C,3:0,JUGADO
4,2025-03-29 16:00:00,PARATEPUY,ACADEMIA DEPORTIVA EMANUEL - S LUGO FC,1:3,JUGADO
4,2025-04-02 15:00:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - CORE SPORT,0:7,JUGADO
5,2025-04-02 16:30:00,LICEO LOS OLIVOS,ACADEMIA M.F.C - ESCUELA DE FUTBOL MGD,1:3,JUGADO
5,2025-04-05 09:00:00,CANCHA EL CAMPITO-CORE 8,CORE SPORT - ACADEMIA SUR AEROPUERTO FC,2:1,JUGADO
5,2025-04-09 15:00:00,CANCHA VILLA BETANIA,S LUGO FC - LOS OLIVOS,4:0,JUGADO
6,2025-04-04 16:00:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - ACADEMIA M.F.C,0:3,JUGADO
6,2025-04-14 16:30:00,PARATEPUY,ACADEMIA SUR AEROPUERTO FC - ACADEMIA DEPORTIVA EMANUEL,2:0,JUGADO
6,2025-04-06 10:00:00,"""CIUDAD MINEROS""  PTO. ORDAZ",ESCUELA DE FUTBOL MGD - S LUGO FC,2:1,JUGADO
7,2025-04-13 09:00:00,"""CIUDAD MINEROS""  PTO. ORDAZ",ESCUELA DE FUTBOL MGD - CORE SPORT,4:3,JUGADO
7,2025-05-17 15:00:00,DESCONOCIDO,ACADEMIA DEPORTIVA EMANUEL - LOS OLIVOS,7:0,JUGADO
7,2025-04-12 08:30:00,CANCHA VILLA BETANIA,S LUGO FC - ACADEMIA SUR AEROPUERTO FC,0:1,JUGADO
8,2025-04-27 09:00:00,DESCONOCIDO,CORE SPORT - ACADEMIA M.F.C,1:2,JUGADO
8,2025-04-25 15:45:00,DESCONOCIDO,ESCUELA DE FUTBOL MGD - ACADEMIA DEPORTIVA EMANUEL,5:0,JUGADO
8,2025-04-26 11:00:00,DESCONOCIDO,ACADEMIA SUR AEROPUERTO FC - LOS OLIVOS,2:2,JUGADO
9,2025-04-26 09:30:00,LICEO LOS OLIVOS,ACADEMIA M.F.C - S LUGO FC,0:4,JUGADO
9,2025-04-26 10:30:00,PARATEPUY,ACADEMIA DEPORTIVA EMANUEL - CORE SPORT,2:2,JUGADO
9,2025-04-28 15:00:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - ESCUELA DE FUTBOL MGD,0:6,JUGADO
10,2025-05-01 11:15:00,PARATEPUY,ACADEMIA DEPORTIVA EMANUEL - ACADEMIA M.F.C,0:1,JUGADO
10,2025-05-04 10:00:00,DESCONOCIDO,ESCUELA DE FUTBOL MGD - ACADEMIA SUR AEROPUERTO FC,0:1,JUGADO
10,2025-05-03 09:00:00,CANCHA VILLA BETANIA,S LUGO FC - CORE SPORT,1:1,JUGADO
11,2025-05-10 10:45:00,LICEO LOS OLIVOS,ACADEMIA M.F.C - ACADEMIA SUR AEROPUERTO FC,0:1,JUGADO
11,2025-05-08 16:00:00,DESCONOCIDO,S LUGO FC - ACADEMIA DEPORTIVA EMANUEL,7:0,JUGADO
11,2025-05-10 09:00:00,CANCHA EL CAMPITO-CORE 8,CORE SPORT - LOS OLIVOS,5:0,JUGADO
12,2025-05-29 16:30:00,DESCONOCIDO,ESCUELA DE FUTBOL MGD - ACADEMIA M.F.C,2:0,JUGADO
12,2025-05-31 08:30:00,DESCONOCIDO,ACADEMIA SUR AEROPUERTO FC - CORE SPORT,2:0,JUGADO
12,2025-05-30 15:00:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - S LUGO FC,1:6,JUGADO
13,2025-06-10 16:00:00,DESCONOCIDO,ACADEMIA M.F.C - LOS OLIVOS,5:1,JUGADO
13,2025-06-06 16:30:00,DESCONOCIDO,ACADEMIA DEPORTIVA EMANUEL - ACADEMIA SUR AEROPUERTO FC,1:1,JUGADO
13,2025-06-12 16:00:00,CANCHA VILLA BETANIA,S LUGO FC - ESCUELA DE FUTBOL MGD,4:2,JUGADO
14,2025-06-14 11:00:00,DESCONOCIDO,CORE SPORT - ESCUELA DE FUTBOL MGD,1:2,JUGADO
14,2025-06-17 15:00:00,DESCONOCIDO,LOS OLIVOS - ACADEMIA DEPORTIVA EMANUEL,1:8,JUGADO
14,2025-06-14 14:00:00,DESCONOCIDO,ACADEMIA SUR AEROPUERTO FC - S LUGO FC,1:1,JUGADO
