archivo,equipo,minuto,dorsal,jugador,tipo_gol,condicion
TA-F01-12.04.25.pdf,CORE SPORT,8,23,Rojas Mendez Cristian Jesus,JUGADA,VISITANTE
TA-F01-12.04.25.pdf,CORE SPORT,24,23,Rojas Mendez Cristian Jesus,JUGADA,VISITANTE
TA-F01-12.04.25.pdf,CORE SPORT,35,16,Cavadia Oca Luis Mario,JUGADA,VISITANTE
TA-F01-12.04.25.pdf,CORE SPORT,43,16,Cavadia Oca Luis Mario,JUGADA,VISITANTE
TA-F02-21.03.25.pdf,S LUGO FC,65,8,Valdez Roca Gabriel Alexander,JUGADA,LOCAL
TA-F02-21.03.25.pdf,ACADEMIA M.F.C,16,37,Gutierrez Bolivar Mathias Eduardo,JUGADA,VISITANTE
TA-F02-21.03.25.pdf,ACADEMIA M.F.C,35,37,Gutierrez Bolivar Mathias Eduardo,JUGADA,VISITANTE
TA-F03-25.03.25.pdf,ACADEMIA M.F.C,10,8,Rincones Ruiz Guillermo Alexander,JUGADA,LOCAL
TA-F03-25.03.25.pdf,ACADEMIA M.F.C,11,37,Gutierrez Bolivar Mathias Eduardo,JUGADA,LOCAL
TA-F03-25.03.25.pdf,ACADEMIA M.F.C,26,37,Gutierrez Bolivar Mathias Eduardo,JUGADA,LOCAL
TA-F03-25.03.25.pdf,ACADEMIA M.F.C,43,7,Adedigba Zapata Emmanuel Aderemi,JUGADA,LOCAL
TA-F03-25.03.25.pdf,ACADEMIA DEPORTIVA EMANUEL,7,26,Ramirez Ascanio Flavio Manuel,JUGADA,VISITANTE
TA-F03-25.03.25.pdf,ACADEMIA DEPORTIVA EMANUEL,24,6,Figuera Diaz Maykol Jose,JUGADA,VISITANTE
TA-F04-29.03.25.pdf,ACADEMIA SUR AEROPUERTO FC,3,9,Gonzalez Marcano Guillermo Alejandro,JUGADA,LOCAL
TA-F04-29.03.25.pdf,ACADEMIA SUR AEROPUERTO FC,29,9,Gonzalez Marcano Guillermo Alejandro,JUGADA,LOCAL
TA-F04-29.03.25.pdf,ACADEMIA SUR AEROPUERTO FC,46,55,Baca Velasquez Angel Ezequiel,JUGADA,LOCAL
TA-F05-02.04.25.pdf,ACADEMIA M.F.C,62,7,Adedigba Zapata Emmanuel Aderemi,JUGADA,LOCAL
TA-F05-02.04.25.pdf,ESCUELA DE FUTBOL MGD,4,26,Sebastian Shama Hernandez Salazar,JUGADA,VISITANTE
TA-F05-02.04.25.pdf,ESCUELA DE FUTBOL MGD,45,2,Zurita Robles Jesus Andres,JUGADA,VISITANTE
TA-F05-02.04.25.pdf,ESCUELA DE FUTBOL MGD,58,36,Rinconi Flores Emmanuel Jose,JUGADA,VISITANTE
TA-F06-04.04.25.pdf,ACADEMIA M.F.C,3,37,Gutierrez Bolivar Mathias Eduardo,JUGADA,VISITANTE
TA-F06-04.04.25.pdf,ACADEMIA M.F.C,42,7,Adedigba Zapata Emmanuel Aderemi,JUGADA,VISITANTE
TA-F06-04.04.25.pdf,ACADEMIA M.F.C,67,7,Adedigba Zapata Emmanuel Aderemi,JUGADA,VISITANTE
TA-F08-27.04.25.pdf,CORE SPORT,18,29,Solarte Reina Luis Antonio,JUGADA,LOCAL
TA-F08-27.04.25.pdf,ACADEMIA M.F.C,32,21,Marcano Alcala Nelson Javier,JUGADA,VISITANTE
TA-F08-27.04.25.pdf,ACADEMIA M.F.C,33,37,Gutierrez Bolivar Mathias Eduardo,JUGADA,VISITANTE
TA-F09-26.04.25.pdf,S LUGO FC,10,8,Valdez Roca Gabriel Alexander,JUGADA,VISITANTE
TA-F09-26.04.25.pdf,S LUGO FC,12,17,Yanez Suarez Roger Javier,JUGADA,VISITANTE
TA-F09-26.04.25.pdf,S LUGO FC,42,7,Maestre Rodriguez Jose Manuel,JUGADA,VISITANTE
TA-F09-26.04.25.pdf,S LUGO FC,52,8,Valdez Roca Gabriel Alexander,JUGADA,VISITANTE
TA-F10-01.05.25.pdf,ACADEMIA M.F.C,25,21,Marcano Alcala Nelson Javier,JUGADA,VISITANTE
TA-F11-10.05.25.pdf,ACADEMIA SUR AEROPUERTO FC,68,18,Guzman Ortiz Samuel David,JUGADA,VISITANTE
TA-F12-29.05.25.pdf,ESCUELA DE FUTBOL MGD,61,4,Aguilera Reyes David Enrique,JUGADA,LOCAL
TA-F12-29.05.25.pdf,ESCUELA DE FUTBOL MGD,67,26,Sebastian Shama Hernandez Salazar,JUGADA,LOCAL
TA-F13-10.06.25.pdf,ACADEMIA M.F.C,5,18,Diaz Villegas Samuel Alejandro,JUGADA,LOCAL
TA-F13-10.06.25.pdf,ACADEMIA M.F.C,20,7,Adedigba Zapata Emmanuel Aderemi,JUGADA,LOCAL
TA-F13-10.06.25.pdf,ACADEMIA M.F.C,37,7,Adedigba Zapata Emmanuel Aderemi,JUGADA,LOCAL
TA-F13-10.06.25.pdf,ACADEMIA M.F.C,65,7,Adedigba Zapata Emmanuel Aderemi,JUGADA,LOCAL
TA-F13-10.06.25.pdf,ACADEMIA M.F.C,70,25,Marcano Camacho Juan Marcos,PEN,LOCAL
TA-F13-10.06.25.pdf,LOS OLIVOS,14,46,Escalona Farias Isaac Javier,JUGADA,VISITANTE
