Jornada,Fecha/hora,Estadio,Partido,Resultado,Estado
1,12.04.2025 09:30,LICEO LOS OLIVOS,ACADEMIA M.f.c - CORE SPORT,0:4,JUGADO
1,10.04.2025 15:30,,ACADEMIA DEPORTIVA EMANUEL - ESCUELA DE FUTBOL MGD,3:3,JUGADO
1,11.04.2025 16:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - ACADEMIA SUR AEROPUERTO fc,0:5,JUGADO
2,21.03.2025 15:00,CANCHA VILLA BETANIA,S LUGO fc - ACADEMIA M.f.c,1:2,JUGADO
2,22.03.2025 14:00,CANCHA EL CAMPITO-CORE 8,CORE SPORT - ACADEMIA DEPORTIVA EMANUEL,3:0*,JUGADO
2,21.03.2025 15:45,"""CIUDAD MINEROS""  PTO. ORDAZ",ESCUELA DE FUTBOL MGD - LOS OLIVOS,3:0*,JUGADO
3,25.03.2025 16:30,LICEO LOS OLIVOS,ACADEMIA M.f.c - ACADEMIA DEPORTIVA EMANUEL,4:2,JUGADO
3,22.03.2025 10:00,CANCHA UNION UNARE,ACADEMIA SUR AEROPUERTO fc - ESCUELA DE FUTBOL MGD,1:0,JUGADO
3,23.03.2025 09:00,CANCHA EL CAMPITO-CORE 8,CORE SPORT - S LUGO fc,4:3,JUGADO
4,29.03.2025 14:30,CANCHA UNION UNARE,ACADEMIA SUR AEROPUERTO fc - ACADEMIA M.f.c,3:0,JUGADO
4,29.03.2025 16:00,PARATEPUY,ACADEMIA DEPORTIVA EMANUEL - S LUGO fc,1:3,JUGADO
4,02.04.2025 15:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - CORE SPORT,0:7,JUGADO
5,02.04.2025 16:30,LICEO LOS OLIVOS,ACADEMIA M.f.c - ESCUELA DE FUTBOL MGD,1:3,JUGADO
5,05.04.2025 09:00,CANCHA EL CAMPITO-CORE 8,CORE SPORT - ACADEMIA SUR AEROPUERTO fc,2:1,JUGADO
5,09.04.2025 15:00,CANCHA VILLA BETANIA,S LUGO fc - LOS OLIVOS,4:0,JUGADO
6,04.04.2025 16:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - ACADEMIA M.f.c,0:3,JUGADO
6,14.04.2025 16:30,PARATEPUY,ACADEMIA SUR AEROPUERTO fc - ACADEMIA DEPORTIVA EMANUEL,2:0,JUGADO
6,06.04.2025 10:00,"""CIUDAD MINEROS""  PTO. ORDAZ",ESCUELA DE FUTBOL MGD - S LUGO fc,2:1,JUGADO
7,13.04.2025 09:00,"""CIUDAD MINEROS""  PTO. ORDAZ",ESCUELA DE FUTBOL MGD - CORE SPORT,4:3,JUGADO
7,17.05.2025 15:00,,ACADEMIA DEPORTIVA EMANUEL - LOS OLIVOS,7:0,JUGADO
7,12.04.2025 08:30,CANCHA VILLA BETANIA,S LUGO fc - ACADEMIA SUR AEROPUERTO fc,0:1,JUGADO
8,27.04.2025 09:00,,CORE SPORT - ACADEMIA M.f.c,1:2,JUGADO
8,25.04.2025 15:45,,ESCUELA DE FUTBOL MGD - ACADEMIA DEPORTIVA EMANUEL,5:0,JUGADO
8,26.04.2025 11:00,,ACADEMIA SUR AEROPUERTO fc - LOS OLIVOS,2:2,JUGADO
9,26.04.2025 09:30,LICEO LOS OLIVOS,ACADEMIA M.f.c - S LUGO fc,0:4,JUGADO
9,26.04.2025 10:30,PARATEPUY,ACADEMIA DEPORTIVA EMANUEL - CORE SPORT,2:2,JUGADO
9,28.04.2025 15:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - ESCUELA DE FUTBOL MGD,0:6,JUGADO
10,01.05.2025 11:15,PARATEPUY,ACADEMIA DEPORTIVA EMANUEL - ACADEMIA M.f.c,0:1,JUGADO
10,04.05.2025 10:00,,ESCUELA DE FUTBOL MGD - ACADEMIA SUR AEROPUERTO fc,0:1,JUGADO
10,03.05.2025 09:00,CANCHA VILLA BETANIA,S LUGO fc - CORE SPORT,1:1,JUGADO
11,10.05.2025 10:45,LICEO LOS OLIVOS,ACADEMIA M.f.c - ACADEMIA SUR AEROPUERTO fc,0:1,JUGADO
11,08.05.2025 16:00,,S LUGO fc - ACADEMIA DEPORTIVA EMANUEL,7:0,JUGADO
11,10.05.2025 09:00,CANCHA EL CAMPITO-CORE 8,CORE SPORT - LOS OLIVOS,5:0,JUGADO
12,29.05.2025 16:30,,ESCUELA DE FUTBOL MGD - ACADEMIA M.f.c,2:0,JUGADO
12,31.05.2025 08:30,,ACADEMIA SUR AEROPUERTO fc - CORE SPORT,2:0,JUGADO
12,30.05.2025 15:00,''LOS   OLIVOS''   PTO. ORDAZ,LOS OLIVOS - S LUGO fc,1:6,JUGADO
13,10.06.2025 16:00,,ACADEMIA M.f.c - LOS OLIVOS,5:1,JUGADO
13,06.06.2025 16:30,,ACADEMIA DEPORTIVA EMANUEL - ACADEMIA SUR AEROPUERTO fc,1:1,JUGADO
13,12.06.2025 16:00,CANCHA VILLA BETANIA,S LUGO fc - ESCUELA DE FUTBOL MGD,4:2,JUGADO
14,14.06.2025 11:00,,CORE SPORT - ESCUELA DE FUTBOL MGD,1:2,JUGADO
14,17.06.2025 15:00,,LOS OLIVOS - ACADEMIA DEPORTIVA EMANUEL,1:8,JUGADO
14,14.06.2025 14:00,,ACADEMIA SUR AEROPUERTO fc - S LUGO fc,1:1,JUGADO
